,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.011484050750732422,0.0018355870380031688,0.0007822990417480468,0.00017189575460395856,1,0.01,"{'C': 1, 'gamma': 0.01}",0.925,0.85,0.825,0.9,0.85,0.875,0.85,0.825,0.9,0.825,0.8625,0.03400367627183864,1,0.9166666666666666,0.9194444444444444,0.9305555555555556,0.9222222222222223,0.9305555555555556,0.9277777777777778,0.9222222222222223,0.925,0.9277777777777778,0.9166666666666666,0.9238888888888889,0.0050000000000000235
1,0.01301429271697998,0.0030786761773815793,0.0007596492767333984,7.377487610845625e-05,1,0.05,"{'C': 1, 'gamma': 0.05}",0.925,0.85,0.825,0.9,0.85,0.875,0.85,0.825,0.9,0.825,0.8625,0.03400367627183864,1,0.9166666666666666,0.9194444444444444,0.9305555555555556,0.9222222222222223,0.9305555555555556,0.9277777777777778,0.9222222222222223,0.925,0.9277777777777778,0.9166666666666666,0.9238888888888889,0.0050000000000000235
2,0.011812114715576172,0.002056780758859614,0.0007051467895507812,7.984482660313235e-05,1,0.1,"{'C': 1, 'gamma': 0.1}",0.925,0.85,0.825,0.9,0.85,0.875,0.85,0.825,0.9,0.825,0.8625,0.03400367627183864,1,0.9166666666666666,0.9194444444444444,0.9305555555555556,0.9222222222222223,0.9305555555555556,0.9277777777777778,0.9222222222222223,0.925,0.9277777777777778,0.9166666666666666,0.9238888888888889,0.0050000000000000235
3,0.01211254596710205,0.0019501239814095892,0.0007620096206665039,0.00015513197096191837,1,0.5,"{'C': 1, 'gamma': 0.5}",0.925,0.85,0.825,0.9,0.85,0.875,0.85,0.825,0.9,0.825,0.8625,0.03400367627183864,1,0.9166666666666666,0.9194444444444444,0.9305555555555556,0.9222222222222223,0.9305555555555556,0.9277777777777778,0.9222222222222223,0.925,0.9277777777777778,0.9166666666666666,0.9238888888888889,0.0050000000000000235
4,0.012767648696899414,0.0019188952294180864,0.000780487060546875,0.0001446582483003483,1,0.1,"{'C': 1, 'gamma': 0.1}",0.925,0.85,0.825,0.9,0.85,0.875,0.85,0.825,0.9,0.825,0.8625,0.03400367627183864,1,0.9166666666666666,0.9194444444444444,0.9305555555555556,0.9222222222222223,0.9305555555555556,0.9277777777777778,0.9222222222222223,0.925,0.9277777777777778,0.9166666666666666,0.9238888888888889,0.0050000000000000235
5,0.011714291572570801,0.0016216837210610293,0.0008711576461791992,0.00016655538502944873,1,0.25,"{'C': 1, 'gamma': 0.25}",0.925,0.85,0.825,0.9,0.85,0.875,0.85,0.825,0.9,0.825,0.8625,0.03400367627183864,1,0.9166666666666666,0.9194444444444444,0.9305555555555556,0.9222222222222223,0.9305555555555556,0.9277777777777778,0.9222222222222223,0.925,0.9277777777777778,0.9166666666666666,0.9238888888888889,0.0050000000000000235
6,0.01190323829650879,0.001999870364130903,0.000802159309387207,8.014711026908728e-05,1,0.5,"{'C': 1, 'gamma': 0.5}",0.925,0.85,0.825,0.9,0.85,0.875,0.85,0.825,0.9,0.825,0.8625,0.03400367627183864,1,0.9166666666666666,0.9194444444444444,0.9305555555555556,0.9222222222222223,0.9305555555555556,0.9277777777777778,0.9222222222222223,0.925,0.9277777777777778,0.9166666666666666,0.9238888888888889,0.0050000000000000235
7,0.011609721183776855,0.001895498319575999,0.0008393764495849609,8.3774752100127e-05,1,1,"{'C': 1, 'gamma': 1}",0.925,0.85,0.825,0.9,0.85,0.875,0.85,0.825,0.9,0.825,0.8625,0.03400367627183864,1,0.9166666666666666,0.9194444444444444,0.9305555555555556,0.9222222222222223,0.9305555555555556,0.9277777777777778,0.9222222222222223,0.925,0.9277777777777778,0.9166666666666666,0.9238888888888889,0.0050000000000000235
8,0.05353090763092041,0.031778513564485786,0.0009061336517333984,0.00020988460802156292,5,0.01,"{'C': 5, 'gamma': 0.01}",0.925,0.85,0.8,0.9,0.85,0.9,0.85,0.825,0.9,0.825,0.8625,0.039131189606246335,1,0.925,0.925,0.9388888888888889,0.925,0.9305555555555556,0.9277777777777778,0.9305555555555556,0.9472222222222222,0.9333333333333333,0.9333333333333333,0.9316666666666666,0.006712803318663627
9,0.0510082483291626,0.03249665499290425,0.0009918451309204102,0.0004705311370395232,5,0.05,"{'C': 5, 'gamma': 0.05}",0.925,0.85,0.8,0.9,0.85,0.9,0.85,0.825,0.9,0.825,0.8625,0.039131189606246335,1,0.925,0.925,0.9388888888888889,0.925,0.9305555555555556,0.9277777777777778,0.9305555555555556,0.9472222222222222,0.9333333333333333,0.9333333333333333,0.9316666666666666,0.006712803318663627
