,3x12,3x13,3x14,3x15,4x6,4x7,4x8,4x9,4x10,4x11,4x12,4x13,4x14,4x15,4x16,4x17,4x18,4x19,4x20,4x21,4x22,4x23,5x5,5x6,5x7,5x8,5x9,5x10,5x11,5x12,5x13,5x14,5x15,5x16,5x17,5x18,5x19,5x20,5x21,5x22,5x23,5x24,5x25,6x4,6x5,6x6,6x7,6x8,6x9,6x10,6x11,6x12,6x13,6x14,6x15,6x16,6x17,6x18,6x19,6x20,6x21,6x22,6x23,6x24,6x25,7x4,7x5,7x6,7x7,7x8,7x9,7x10,7x11,7x12,uniform_random,log_norm_random,norm_random,model_actuals,Dummy_MostFreq,SGD_Classifier,SVM_Linear,GBM
6877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,207,254,254,254,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3257554899222096,0.8549362634614058,1.1329625451776755,1,0,1,1,1
38027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,201,254,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,246,252,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2030002807719431,2.000926301288836,1.070550573234162,0,0,0,0,0
34337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,255,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,253,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3233007157936628,0.46062644970392985,-1.1260356498427257,1,0,1,1,1
37365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,254,254,167,0,0,0,0,0,0,0,0,0,0,0,0,0.8847989234880864,0.3678903761438135,2.189896555815467,1,0,1,1,1
58741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,232,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8786909205265722,0.6408996920576805,-0.6807408677756016,0,0,0,0,0
45131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,159,255,255,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.09883099721515232,0.7571519789736456,0.22698430501648345,0,0,0,0,0
14724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,162,203,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8016599557621922,2.050580227132903,-0.8640999085038977,1,0,1,1,1
14823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,106,182,206,254,172,144,30,0,0,0,0,0,0,0,0,0,0,0,0,0,27,131,253,253,253,253,253,0.3709892246931624,0.10757545223808324,1.3542058895237663,1,0,1,1,1
51934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,132,152,193,132,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,233,252,253,252,253,232,41,0,0,0,0,0,0,0,0,0,0,0,0,0,11,173,254,253,0.3800036858011009,0.9494929941736271,-1.9862707933489947,1,0,1,1,1
47027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,158,168,212,255,243,168,159,20,0,0,0,0,0,0,0,0,0,0,0,205,250,252,254,254,0.31772442452317207,0.6697194096103152,0.6120274330764036,0,0,0,0,0
7584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,221,254,255,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,220,253,253,253,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6112757288472356,3.015364285968076,-0.08732719655809357,0,0,0,0,0
38039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,195,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,253,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8191503908508974,2.402014746605474,-0.9759800192588722,1,0,1,1,1
41956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,238,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9267162946002339,2.1651168569493766,-1.196373062081315,0,0,0,0,0
59512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,254,188,160,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,77,195,252,254,254,254,251,59,0,0,0,0,0,0,0,0,0,0,0,8,0.3047275773822137,1.2339938182459769,0.13645435046636123,1,0,1,1,1
